output,mse,mae,r2
x1,5.711155588241835,1.417806630149767,0.3643461161345012
x2,2.8252198282942445,1.2414013891339302,0.5070181272862044
x3,4.818313034907705,1.2353892986372816,0.8272672436880747
x4,2.3674151798693446,1.002311507344275,0.8480717200101126
x5,2.857677854519303,1.1871005240580077,0.9808322464380346
x6,2.860496559102544,1.2561295083566613,0.9595762639994283
x7,3.9466748936616862,1.4220714088513757,0.9897640988225459
aggregate,3.626707562656666,1.2517443237901855,0.9865646660388666
