epoch,loss_name,train_loss_scaled,val_loss_scaled,test_loss_scaled
1,mse,1.0005419836802916,0.9790273904800415,0.5508838295936584
2,mse,0.9867080450057983,0.9160845875740051,0.5064030885696411
3,mse,0.9265588318759744,0.8776567578315735,0.47280728816986084
4,mse,0.8964536786079407,0.841066300868988,0.4515764117240906
5,mse,0.8771851767193187,0.8494832515716553,0.4456249475479126
6,mse,0.8591195785186507,0.8252190351486206,0.4400281608104706
7,mse,0.8452971333807165,0.8092080354690552,0.4362989068031311
8,mse,0.8426270159808072,0.7990981340408325,0.4304431080818176
9,mse,0.8307592841711912,0.7994621992111206,0.42345526814460754
10,mse,0.824614707719196,0.7910951375961304,0.41585925221443176
11,mse,0.8261766542087902,0.7799161672592163,0.40664511919021606
12,mse,0.8042551827701655,0.7670843601226807,0.4138617515563965
13,mse,0.797851101918654,0.7670025825500488,0.406120628118515
14,mse,0.7816247581080957,0.753385603427887,0.4001789093017578
15,mse,0.776003210382028,0.738745391368866,0.42387375235557556
16,mse,0.7862484008073807,0.7480680346488953,0.3972022235393524
17,mse,0.7784167040478099,0.7611835598945618,0.4306318461894989
18,mse,0.7455177185210314,0.7508490681648254,0.3937456011772156
19,mse,0.7341009317473932,0.7229461669921875,0.3924937844276428
20,mse,0.749006066810001,0.7572680115699768,0.37584516406059265
21,mse,0.7264265716075897,0.7776247262954712,0.4306512475013733
22,mse,0.7267634760249745,0.7601366639137268,0.4074753224849701
23,mse,0.7318312498656186,0.8245165944099426,0.3987274765968323
24,mse,0.7355044768615202,0.758512020111084,0.4384879469871521
25,mse,0.7185763621872122,0.7277107238769531,0.3909844756126404
26,mse,0.6908612075177106,0.7073709964752197,0.403393030166626
27,mse,0.704402624883435,0.7459439039230347,0.3906579315662384
28,mse,0.7218503261154349,0.7576152682304382,0.4042259752750397
29,mse,0.7060077894817699,0.6906163096427917,0.3793538510799408
30,mse,0.6969462768598036,0.7557881474494934,0.3930540978908539
31,mse,0.7884595875035633,0.7282447814941406,0.39422619342803955
32,mse,0.7028942799026315,0.753411591053009,0.3763159215450287
33,mse,0.6925658841024745,0.7556042671203613,0.39978739619255066
34,mse,0.7160364457152106,0.7190500497817993,0.3833668828010559
35,mse,0.6871603077108209,0.7261528968811035,0.38773366808891296
36,mse,0.6893694671717557,0.7650657296180725,0.3966950476169586
37,mse,0.6810284392400221,0.7966995239257812,0.4119325280189514
38,mse,0.745095053857023,0.6647372245788574,0.3849599361419678
39,mse,0.6656549451026049,0.7495248317718506,0.4070037603378296
40,mse,0.6591072394089266,0.693302571773529,0.3818809688091278
41,mse,0.6700208336114883,0.7360386252403259,0.3975866436958313
42,mse,0.6643721298737959,0.6711342930793762,0.4011825919151306
43,mse,0.6675272563641722,0.6808550357818604,0.42470240592956543
44,mse,0.635317631743171,0.7198762893676758,0.4053283929824829
45,mse,0.6580725434151563,0.7399516701698303,0.4109930098056793
46,mse,0.689758758653294,0.6779365539550781,0.4375927746295929
47,mse,0.6503625037995252,0.7537779211997986,0.4306916892528534
48,mse,0.6719141020016237,0.9131934642791748,0.5088089108467102
49,mse,0.6638791222463954,0.7073735594749451,0.40275800228118896
50,mse,0.6501277969642119,0.6601278185844421,0.4009508192539215
51,mse,0.6237798441540111,0.7275080680847168,0.4228992760181427
52,mse,0.6119706109166145,0.6639220714569092,0.40434226393699646
53,mse,0.6130904521454464,0.8055708408355713,0.4760780334472656
54,mse,0.6473219746893103,0.6315290331840515,0.41393864154815674
55,mse,0.6412837302142923,0.8628001809120178,0.4328227639198303
56,mse,0.6404333317821677,0.6264132261276245,0.46052297949790955
