output,mse,mae,r2
x1,6.219371810489057,1.2559415799512192,0.3077814488752174
x2,3.8285928069542776,1.3665052256322217,0.3319362858321574
x3,5.9855459066726295,1.0636381334881817,0.7854228575435572
x4,2.8748520579245693,0.9553769191552562,0.8155070846466512
x5,2.3600472836246826,0.9210703580574363,0.9841700824830331
x6,1.0102510467525732,0.3710566588834748,0.9857234152307319
x7,0.873484241403663,0.40305436751156776,0.9977345743908549
aggregate,3.307449307688779,0.905234748954194,0.9877473754802091
