output,mse,mae,r2
x1,6.671115867208299,1.286445748325609,0.25750215605435045
x2,2.7199511367421154,1.1141472491743771,0.5253868064876497
x3,5.625480118150897,1.0097879728249373,0.7983309346349364
x4,2.0807926723267687,0.8311978803060865,0.866465648099961
x5,2.327160852016776,0.9387182642351168,0.9843906668346232
x6,0.8651428773451653,0.4544282561142426,0.9877740432285127
x7,1.0667868783548422,0.6145920369118107,0.9972332342140009
aggregate,3.0509186288778376,0.8927596296988828,0.9886977072292009
