output,mse,mae,r2
x1,6.6042540828847605,1.2993050344952293,0.26494389918860084
x2,3.4363391664143657,1.315287829565219,0.40038190990556677
x3,6.8150408559000395,1.3778161580024553,0.7556861119463265
x4,4.448259295830764,1.4666177519079182,0.7145340667276225
x5,5.2066245818099866,1.6343834082306121,0.9650767854340278
x6,7.573367725841387,1.8062434294466942,0.8929752889894361
x7,6.071099269843141,1.750176803504107,0.9842542966322285
aggregate,5.736426425503492,1.521404345021748,0.9787490986139358
