output,mse,mae,r2
x1,7.058635398400198,1.374004381895585,0.21437107841692615
x2,3.5254338704157377,1.2784623581923256,0.38483548283196234
x3,5.677546604218013,1.0008924787960447,0.7964643918045531
x4,2.5243203123188556,0.8623280826875189,0.8380023721841199
x5,2.112417130634117,0.8165256350816756,0.9858310512796132
x6,0.681131599308214,0.2158473718356997,0.9903744390586784
x7,0.5771900553417387,0.234416079964346,0.9985030283653271
aggregate,3.1652392815195536,0.8260680554933136,0.988274200199654
