optimizer,schedule,mse,mae,rmse,r2_mean
adamw,plateau,2.5125417299128974,1.0171246974647572,1.5850999116500188,0.7897429963899983
adamw,none,2.52586044773211,1.018990725126809,1.589295582241425,0.7917368754573371
adam,none,2.5427978887063567,1.0209910416134942,1.5946152792151331,0.7887947032533477
adam,plateau,2.586830137914704,1.026783568079734,1.6083625641983539,0.7830516972893354
adamw,cosine,2.669857594719796,1.056662920813931,1.633969887947693,0.7802148261470422
