Type,MSE,MAE,RMSE,Mean_R2
single_seed_42,2.6323149151786462,1.0354942351233603,1.6224410359636021,0.7798551423562401
single_seed_43,2.4901930415248077,1.0031426882920602,1.5780345501682806,0.7902255971904121
single_seed_44,2.498926106399938,1.0043655434936583,1.5807991986333805,0.7882722699827658
single_seed_45,2.453524913636826,0.9811448585690359,1.5663731718964118,0.7902653964788675
single_seed_46,2.8481051315669674,1.0963281280075527,1.6876329967048427,0.7657646526144671
ensemble_5,2.3666864313865155,0.9280905745951682,1.5384038583501134,0.7930791036233252
