Architecture,Layers,Parameters,MSE,MAE,RMSE,Mean R²
Base_2L_256_128,"[256, 128]",35079,2.5322638951311776,1.0315221431566894,1.591308862267529,0.7886863384424555
Base_3L_256_192_128,"[256, 192, 128]",76231,2.775293289643583,1.1124775166116643,1.665921153489439,0.7893206111230804
BN_Drop_3L_256_192_128,"[256, 192, 128]",77959,2.9850413084901093,1.141433662094174,1.7277272089337798,0.7725078938036157
BN_Drop_Res_4L_256_256_128_128,"[256, 256, 128, 128]",119687,2.985354754409049,1.1601363111165384,1.7278179170297572,0.7777765816616633
BN_Drop_2L_256_128,"[256, 128]",36231,3.168655795535981,1.1818639016135826,1.780071851228478,0.758582870475521
BN_Drop_Res_4L_256_192_192_128,"[256, 192, 192, 128]",115591,3.178180607218507,1.1891111184259573,1.7827452446209209,0.7706996018655542
BN_2L_256_128,"[256, 128]",36231,4.279779108221396,1.4583365036667202,2.0687626998332593,0.7339032313240347
BN_3L_256_192_128,"[256, 192, 128]",77959,5.057842998406985,1.6139391509877075,2.2489648726485223,0.7251292800866092
