Architecture,Layers,Neurons,Activation,Validation_Loss
"30 layers, 50 neurons",30,50,ELU,0.20435601472854614
"30 layers, 50 neurons",30,50,LEAKY_RELU,0.2834134101867676
"30 layers, 50 neurons",30,50,RELU,0.24443456530570984
"30 layers, 50 neurons",30,50,TANH,0.24211163818836212
"30 layers, 60 neurons",30,60,ELU,0.19242428243160248
"30 layers, 60 neurons",30,60,LEAKY_RELU,0.2532447278499603
"30 layers, 60 neurons",30,60,RELU,0.27425530552864075
"30 layers, 60 neurons",30,60,TANH,0.21672114729881287
"30 layers, 70 neurons",30,70,ELU,0.20441974699497223
"30 layers, 70 neurons",30,70,LEAKY_RELU,0.24749137461185455
"30 layers, 70 neurons",30,70,RELU,1.00131094455719
"30 layers, 70 neurons",30,70,TANH,0.21007387340068817
