epoch,loss_name,train_loss_scaled,val_loss_scaled,test_loss_scaled
1,charbonnier,0.7064852470701392,0.7142634987831116,0.6411765217781067
2,charbonnier,0.6246429898522117,0.6120553016662598,0.5423546433448792
3,charbonnier,0.5597983666441657,0.5657735466957092,0.5110112428665161
4,charbonnier,0.5259165479378267,0.5397127270698547,0.4781337082386017
5,charbonnier,0.5156524614854292,0.5252443552017212,0.4678259491920471
6,charbonnier,0.5040359984744679,0.5250617861747742,0.46519193053245544
7,charbonnier,0.5032144663008776,0.5219250321388245,0.4812839925289154
8,charbonnier,0.5001836283640428,0.5226410627365112,0.46073126792907715
9,charbonnier,0.49761715260418976,0.5127304196357727,0.4559692442417145
10,charbonnier,0.4952267896045338,0.5116012096405029,0.4532329738140106
11,charbonnier,0.49540652334690094,0.5096497535705566,0.458591103553772
12,charbonnier,0.4871507639234716,0.5070133209228516,0.44555994868278503
13,charbonnier,0.48748449981212616,0.5048515796661377,0.45255500078201294
14,charbonnier,0.4837141118266366,0.5010582208633423,0.45375779271125793
15,charbonnier,0.4793798557736657,0.4952463209629059,0.4371381998062134
16,charbonnier,0.4711666283282367,0.5001862645149231,0.4465516209602356
17,charbonnier,0.4749196469783783,0.4813714921474457,0.43495678901672363
18,charbonnier,0.45653943717479706,0.4754687249660492,0.42329782247543335
19,charbonnier,0.45632564344189386,0.4719620645046234,0.408526211977005
20,charbonnier,0.4600047618150711,0.4694826602935791,0.4160531163215637
21,charbonnier,0.45123425261540845,0.4822860658168793,0.42381367087364197
22,charbonnier,0.44697551700201904,0.46621933579444885,0.4031732976436615
23,charbonnier,0.4497232193296606,0.4644470810890198,0.4121134877204895
24,charbonnier,0.44333045320077374,0.46760764718055725,0.40978437662124634
25,charbonnier,0.43684345890175214,0.45930761098861694,0.40617284178733826
26,charbonnier,0.4335344515063546,0.4558759033679962,0.3975706994533539
27,charbonnier,0.4354564032771371,0.4588741362094879,0.4063303768634796
28,charbonnier,0.430467425422235,0.45824387669563293,0.39646992087364197
29,charbonnier,0.43009248782287945,0.4542485177516937,0.39847123622894287
30,charbonnier,0.430456895719875,0.4677586257457733,0.40869808197021484
31,charbonnier,0.43339964747428894,0.45822760462760925,0.4073595106601715
32,charbonnier,0.43184142898429523,0.4598778784275055,0.3954900801181793
33,charbonnier,0.4285962852564725,0.4552009105682373,0.38950014114379883
34,charbonnier,0.42597379874099384,0.45508310198783875,0.39965954422950745
35,charbonnier,0.4270244592970068,0.45059922337532043,0.3929194509983063
36,charbonnier,0.4256418726660989,0.4620816707611084,0.4071061611175537
37,charbonnier,0.4259637689048594,0.44833600521087646,0.3845556080341339
38,charbonnier,0.42148803174495697,0.4640011489391327,0.39436960220336914
39,charbonnier,0.41990834880958905,0.45761173963546753,0.390157550573349
40,charbonnier,0.4258700758218765,0.45757046341896057,0.3960421085357666
41,charbonnier,0.4198328893293034,0.4512583017349243,0.38281577825546265
42,charbonnier,0.4155488366430456,0.45737165212631226,0.38841626048088074
43,charbonnier,0.41828938776796515,0.446972131729126,0.38534700870513916
44,charbonnier,0.4187682271003723,0.4556240737438202,0.391254186630249
45,charbonnier,0.4198696125637401,0.459098219871521,0.39442285895347595
46,charbonnier,0.4171707034111023,0.44735220074653625,0.380281537771225
47,charbonnier,0.4121910807761279,0.4495603144168854,0.3888828158378601
48,charbonnier,0.4139060825109482,0.4461025893688202,0.38028281927108765
49,charbonnier,0.4102847386490215,0.4471327066421509,0.38003453612327576
50,charbonnier,0.41032645919106225,0.4466930627822876,0.3793255090713501
51,charbonnier,0.408952305262739,0.4461681842803955,0.3805713355541229
52,charbonnier,0.410563739863309,0.4538898468017578,0.38932809233665466
53,charbonnier,0.40612868151881476,0.4457021653652191,0.37937113642692566
54,charbonnier,0.4094177213582126,0.4526345133781433,0.392452597618103
55,charbonnier,0.4184480593963103,0.44544777274131775,0.3826068043708801
56,charbonnier,0.41075092012232,0.4406224191188812,0.37460869550704956
57,charbonnier,0.4112568904053081,0.4439142644405365,0.3743825852870941
58,charbonnier,0.40188446099107916,0.44168561697006226,0.37615135312080383
59,charbonnier,0.4036842896179719,0.4549931585788727,0.38839271664619446
60,charbonnier,0.4058000093156641,0.4530184864997864,0.3943612575531006
61,charbonnier,0.40817109563133935,0.45503973960876465,0.39412474632263184
62,charbonnier,0.4027140045707876,0.44303518533706665,0.37660160660743713
63,charbonnier,0.3977374718947844,0.4433836042881012,0.37413936853408813
64,charbonnier,0.40852281180295075,0.444772869348526,0.37786445021629333
