Output,MSE,MAE,RMSE,R2
x1,5.330382906618692,1.561558929923303,2.308762202267417,0.3155081887837229
x2,3.819874845400244,1.4683756605339011,1.954450010975017,0.31899571417383443
x3,3.524093270583182,1.2152211288919723,1.8772568472596343,0.8646720538439407
x4,3.0477365614351752,1.0614174698540741,1.7457767788108465,0.8211187234124149
x5,2.9438262860910585,1.2540083313525958,1.7157582248356142,0.98074347048586
x6,1.1813755464860705,0.752650453321148,1.0869110113004057,0.9834665228697985
x7,1.984264377849978,0.9952019058451609,1.4086391936368865,0.9950911309726876
