Architecture,Layers,Neurons,Activation,Validation_Loss
"9 layers, 15 neurons",9,15,ELU,0.22138409316539764
"9 layers, 15 neurons",9,15,LEAKY_RELU,0.23444195091724396
"9 layers, 15 neurons",9,15,RELU,0.22865398228168488
"9 layers, 15 neurons",9,15,TANH,0.23568278551101685
"9 layers, 20 neurons",9,20,ELU,0.22119896113872528
"9 layers, 20 neurons",9,20,LEAKY_RELU,0.216133251786232
"9 layers, 20 neurons",9,20,RELU,0.22962795197963715
"9 layers, 20 neurons",9,20,TANH,0.22800475358963013
"10 layers, 10 neurons",10,10,ELU,0.2559521198272705
"10 layers, 10 neurons",10,10,LEAKY_RELU,0.25967350602149963
"10 layers, 10 neurons",10,10,RELU,0.2616528272628784
"10 layers, 10 neurons",10,10,TANH,0.25797581672668457
"10 layers, 15 neurons",10,15,ELU,0.22777462005615234
"10 layers, 15 neurons",10,15,LEAKY_RELU,0.2291153073310852
"10 layers, 15 neurons",10,15,RELU,0.24008606374263763
"10 layers, 15 neurons",10,15,TANH,0.23541057109832764
"10 layers, 20 neurons",10,20,ELU,0.22109022736549377
"10 layers, 20 neurons",10,20,LEAKY_RELU,0.22690968215465546
"10 layers, 20 neurons",10,20,RELU,0.23057261109352112
"10 layers, 20 neurons",10,20,TANH,0.22567328810691833
