Type,MSE,MAE,RMSE,Mean_R2
single_seed_42,2.5072848369712086,1.0103019731134792,1.5834408220616294,0.7908010590428921
single_seed_43,2.452073671361519,0.9781495052408914,1.5659098541619563,0.7875929365459912
single_seed_44,2.46580807824769,0.9906595993070232,1.5702891702637733,0.7940324578042891
single_seed_45,2.661060781475492,1.0375786010574164,1.6312758140411117,0.7845402834461069
single_seed_46,2.5107892429327037,0.9884183510359547,1.5845470150591,0.7838267436088631
ensemble_5,2.332257676287643,0.9186304049106354,1.527173099647726,0.7961247277957383
