output,mse,mae,r2
x1,7.5971991269168,1.4570752625423906,0.15442872166420962
x2,3.5713186214296497,1.2913413058261212,0.37682890215554754
x3,5.691849139177955,1.0041516700063353,0.7959516571050888
x4,2.584226978396458,0.8727401729513351,0.8341578767975518
x5,2.169781064422575,0.8377602299465252,0.9854462851155534
x6,0.7299651888511011,0.23947843057542295,0.9896843364520661
x7,0.6024802854290038,0.2617970209634357,0.9984374368730194
aggregate,3.2781172006605064,0.8520491561159379,0.9878560378542495
