epoch,loss_name,train_loss_scaled,val_loss_scaled,test_loss_scaled
1,charbonnier,0.7251144457947124,0.7329418063163757,0.634645402431488
2,charbonnier,0.7187198292125355,0.7073466181755066,0.6139153242111206
3,charbonnier,0.6726654917001724,0.651110053062439,0.5823812484741211
4,charbonnier,0.6447672098875046,0.6466366648674011,0.5630670785903931
5,charbonnier,0.6361204331571405,0.6426118016242981,0.5566190481185913
6,charbonnier,0.6282462978904898,0.6413785815238953,0.5551224946975708
7,charbonnier,0.6260519176721573,0.6404896378517151,0.5573333501815796
8,charbonnier,0.6287648284977133,0.6429324746131897,0.5470130443572998
9,charbonnier,0.6245583729310469,0.6348477005958557,0.5513089895248413
10,charbonnier,0.6230740831656889,0.642146646976471,0.5782344341278076
11,charbonnier,0.622139417312362,0.6326367259025574,0.5507091283798218
12,charbonnier,0.615021209825169,0.6321974396705627,0.5539861917495728
13,charbonnier,0.6143101277676496,0.631361186504364,0.5394845604896545
14,charbonnier,0.6077103492888537,0.6295964121818542,0.5531553626060486
15,charbonnier,0.6045356717976657,0.6212620735168457,0.5393014550209045
16,charbonnier,0.5965818898244337,0.6233450174331665,0.5255340337753296
17,charbonnier,0.5967788831754164,0.6154334545135498,0.546075701713562
18,charbonnier,0.5990630103783174,0.619678795337677,0.5215652585029602
19,charbonnier,0.5901715186509219,0.6046843528747559,0.5197681188583374
20,charbonnier,0.5823648869991302,0.5998714566230774,0.5126035809516907
21,charbonnier,0.5776485936208204,0.5965685248374939,0.5064222812652588
22,charbonnier,0.5735821913589131,0.5979394912719727,0.5116708278656006
23,charbonnier,0.5775204382159493,0.5988229513168335,0.5095577836036682
24,charbonnier,0.5767846391959623,0.5939257144927979,0.49809226393699646
25,charbonnier,0.5699141472578049,0.5950307846069336,0.49849534034729004
26,charbonnier,0.5623900687152689,0.601260244846344,0.5130670070648193
27,charbonnier,0.5666252699765292,0.6163876056671143,0.5034213662147522
28,charbonnier,0.5688187087124045,0.5874239802360535,0.5025308728218079
29,charbonnier,0.5570051832632585,0.5874207019805908,0.4829811155796051
30,charbonnier,0.5567324947227131,0.5877406597137451,0.5021032094955444
31,charbonnier,0.560169905424118,0.5828428268432617,0.4990227222442627
32,charbonnier,0.5529736944220283,0.5844805240631104,0.49907079339027405
33,charbonnier,0.5562629252672195,0.598250150680542,0.48761871457099915
34,charbonnier,0.5569202236153863,0.6034519672393799,0.4921804666519165
35,charbonnier,0.5571698167107322,0.5857570767402649,0.4965166747570038
36,charbonnier,0.5461846982890909,0.5838466286659241,0.4795339107513428
37,charbonnier,0.5485687553882599,0.5750981569290161,0.4839895963668823
38,charbonnier,0.5463382574644956,0.5852280259132385,0.5024259090423584
39,charbonnier,0.5606062629006126,0.5869778990745544,0.4827393889427185
40,charbonnier,0.5540983460166238,0.5753281712532043,0.4872819185256958
41,charbonnier,0.5509228394790129,0.5953101515769958,0.5105864405632019
