output,mse,mae,r2
x1,0.9771693045312149,0.5683457405702714,0.8912406685438188
x2,0.4811882003954189,0.4995805262512373,0.9160358929301664
x3,0.8663628259710646,0.46919398524423384,0.9689415698374115
x4,0.3563738381393793,0.38147118643972994,0.977129797628104
x5,0.4955758984759044,0.4837965212398833,0.9966759455835047
x6,0.3046821583111385,0.36649873418509205,0.9956943170959387
x7,0.41924474400064243,0.4406721677060729,0.9989126675278854
aggregate,0.5572281385463946,0.45850840880521726,0.997935718277647
