layers,width,dropout,val_mse_scaled,test_mse_scaled,test_mse_unscaled
8,128,0.2,0.3648148775100708,0.24436099412754733,7.329242981315398
10,128,0.2,0.3285827562212944,0.19698424183572896,4.145348043124133
8,192,0.2,0.3397013396024704,0.21123405881579133,4.84140334966335
10,192,0.2,0.3586437702178955,0.2574904274457867,8.599228626969643
12,256,0.2,0.33271779119968414,0.21711163191866636,4.999247575888752
