output,mse,mae,r2
x1,6.270582115604856,1.2188634593320395,0.30208172158923474
x2,2.9862630166314843,1.1253295679031325,0.4789171732368246
x3,5.223066263553306,0.9042489179154883,0.8127571567959213
x4,2.144320690684258,0.7651507154781045,0.8623887533320767
x5,1.898952285348403,0.7111113234915435,0.9872628577171755
x6,0.5128679402131059,0.146955530591518,0.9927522939496785
x7,0.5035332319772259,0.17547220521068976,0.9986940610663523
aggregate,2.791369363430377,0.721018817131788,0.9896592214953522
