output,mse,mae,r2
x1,6.825139290668563,1.3331477708843387,0.24035928788764416
x2,3.4350808117975338,1.2563531674104238,0.4006014843292385
x3,5.579577297817048,0.9859199253639985,0.7999765148662982
x4,2.4571874330657857,0.8477301058493468,0.842310608002837
x5,2.0797039716046344,0.818049281986897,0.986050473412699
x6,0.6595070359894502,0.21869788191436904,0.9906800313293432
x7,0.5401763362616373,0.25171061053504934,0.998599025319959
aggregate,3.0823388824578077,0.8159441062777748,0.9885813092035268
